name;address;sector
Inti Opto Tama;Delta Building 110160 Jakarta;Opticians (Retail)
Balimas Optikal;Jalan Karang Tengah Raya 3712440 Jakarta;Opticians (Retail)
Sinar Baru Optical;Jalan Tunjungan 360275 Kota Surabaya;Opticians (Retail)
Ina Swiss Optic;Jalan Letnan Jenderal MT Haryono 9350121 Kota Semarang;Opticians (Retail)
The Domba Mas Group;Jalan Padang Sidempuan 2 Jakarta;Opticians (Retail)
Optik JM Top;Mall Kelapa Gading Ground Floor, 14240 Jakarta;Opticians (Retail)
Optik Idong;Jalan Juwet 2360133 Kota Surabaya;Opticians (Retail)
Tunggal Optik;Jalan Braga 7240111 Klaten  - Kabupaten;Opticians (Retail)
Optik Samudera Bangil;Plaza Bangil 4467131 Klaten  - Kabupaten;Opticians (Retail)
Timur Jaya Coldstorage;Jl Kom L Yos Sudarso 820233 Obi Timur  - Sum;Opticians (Retail)
Optik Putra Jaya;Jl. P. Sudirman 7569151 Klaten  - Kabupaten;Opticians (Retail)
Optik Harmonis;Jalan Bandara Sam Ratulangi 16895231 Kota Manado;Opticians (Retail)
Optik Internasional;Komp. Citra Niaga Barat 75116 Kota Samarinda;Opticians (Retail)
Suru Suru Sentra;Jalan Mohammad Husni Thamrin 10220 Jakarta;Opticians (Retail)
Seis Optik;Jalan Pemuda 2735111 Kota Bandar Lampung;Opticians (Retail)
Mega Utama;Jalan Cut Meutia 17113 Kota Bekasi;Opticians (Retail)
Nasional Optik;Jalan Bari Raya 330163 Kota Palembang;Opticians (Retail)
Nusantara Optical;Jl. Dr. Cipto Mangunkusumo 550123 Kota Semarang;Opticians (Retail)
Buana Optik;Jalan Caman 16917412 Kota Bekasi;Opticians (Retail)
Wajah Indah Semesta;Jakarta;Opticians (Retail)
Essilor Indonesia;Jalan Tombak 1510640 Jakarta;Opticians (Retail)
Pusat Mata Jenderal Sudirman;Jalan Jenderal Sudirman 30121 Kota Palembang;Opticians (Retail)
Optik Yuddi;Jalan Basuki Rahmat 562211 Klaten  - Kabupaten;Opticians (Retail)
Indah Optik;Jl. Gajah Mada 12861263 Klaten  - Kabupaten;Opticians (Retail)
Optik Cakrawala Dunia;Jalan Buah Batu 13840265 Klaten  - Kabupaten;Opticians (Retail)
Optik Internasional;Jalan Mataram 6455212 Kota Yogyakarta;Opticians (Retail)
Semarang Optik;Jalan Jenderal Ahmad Yani 376131 Balikpapan;Opticians (Retail)
Star Optic;Jalan Blauran 7860251 Kota Surabaya;Opticians (Retail)
Indo Optik;Jalan Gajah Mada 751114 Kota Pekalongan;Opticians (Retail)
JM Top Optik;Fllor 60165 Kota Surabaya;Opticians (Retail)
Vidi Optical;Jalan Darmo Permai Timur 1 2860189 Kota Surabaya;Opticians (Retail)
Java Optical;Jalan Pasar Baru 15010110 Jakarta;Opticians (Retail)
Duta Optical;Jalan Daan Mogot 2515111 Kota Tangerang;Opticians (Retail)
Optik New Lopiga;Jl. Kapten Selamat Ketaren 22111 Klaten  - Kabupaten;Opticians (Retail)
Optik Akur;Jalan Mataram 855212 Kota Yogyakarta;Opticians (Retail)
Mikeda Optik;Jalan Perserikatan 313220 Jakarta;Opticians (Retail)
Akur Optic;Jalan Perwakilan 855212 Kota Yogyakarta;Opticians (Retail)
Ginsa Prima Tama Toko;Jalan Pangeran Samudera 10070111 Kota Banjarmasin  - Kertak Baru Ilir;Opticians (Retail)
Sahabat Optik;Jl. Ahmad Yani 3061419 Klaten  - Kabupaten;Opticians (Retail)
Tugas Bangun Nusa;Jalan Jatiwaringin 4213610 Kota Bekasi;Opticians (Retail)
Tunas Makmur Optik;Jalan Melawan 16611170 Jakarta;Opticians (Retail)
Semarang Optik;Jalan Kyai Haji Agus Salim 4375117 Kota Samarinda;Opticians (Retail)
Optik Berlian;Jl. Manukan Tama A2 3760132 Kota Surabaya;Opticians (Retail)
Indah Optical;Psr Turi Baru E/25-27-29 2560174 Kota Surabaya;Opticians (Retail)
Internasional Optik;Jalan Rumah Sakit Fatmawati 12430 Jakarta;Opticians (Retail)
Florida Optik;Jl. Dr Sutomo 20581 Kabupaten Deli Serdang;Opticians (Retail)
Bursa Optikal;Jalan Blora 1910220 Jakarta;Opticians (Retail)
Optik Internasional;Jalan Bandara Sam Ratulangi 11295231 Kota Manado;Opticians (Retail)
Optik Samudera Pasuruan;Jl. Niaga Kota Pasuruan 2467131 Klaten  - Kabupaten;Opticians (Retail)
Optik Terang;Jalan Rajawali 10057412 Klaten  - Kabupaten;Opticians (Retail)
Optik Marlin;Jl. KH. Wahid Hasyim 10367131 Klaten  - Kabupaten;Opticians (Retail)
Optik Internasional;Jl. Wahid Hasim 3468211 Klaten  - Kabupaten;Opticians (Retail)
Optik Sinar Jaya;Jl. Raya PB Sudirman 19767271 Klaten  - Kabupaten;Opticians (Retail)
Optik Gajahmada Tuban;Jalan AKBP Suroko 662318 Klaten  - Kabupaten;Opticians (Retail)
Utama Optik;Jalan Raden Mattaher 8336113 Kota Jambi;Opticians (Retail)
USM;Ruko Serenade Center 15810 Klaten  - Kabupaten;Opticians (Retail)
Optik Wijaya;Jl. Kyain Gozhali 1767312 Klaten  - Kabupaten;Opticians (Retail)
Jaya Optik;Kompl 2967153 Klaten  - Kabupaten;Opticians (Retail)
Kharisma Optik;Jalan Tanjung Duren 10411470 Jakarta;Opticians (Retail)
Innovine Studio Indonesia;Office 12190 Jakarta;Opticians (Retail)
Optik Tasikmalaya;Jalan Pahlawan 9157424 Klaten  - Kabupaten;Opticians (Retail)
Optik Murni;Jalan Walanda Maramis 7695231 Kota Manado;Opticians (Retail)
Solusi Optik Indonesia;Gedung Batik Afri 12930 Jakarta;Opticians (Retail)
Karyamas Visionindo;Jalan Husein Sastranegara 15122 Kota Tangerang;Opticians (Retail)
Obio Sentra Energi;Jalan Mohammad Husni Thamrin 10220 Jakarta;Opticians (Retail)
Gamay Djaja;JL Petak Baru 5811230 Jakarta;Opticians (Retail)
Cahaya Optik;Jalan Palmerah Barat 911480 Jakarta;Opticians (Retail)
Delapan-Delapan Optindo;Jalan Duri Kosambi 3811750 Jakarta;Opticians (Retail)
Aris Optik;Jalan Raya Mekarsari 1617510 Klaten  - Kabupaten;Opticians (Retail)
Astro Lensindo Nusa;Jalan Daan Mogot 11730 Jakarta;Opticians (Retail)
Dwi Tunggal Optik;Jalan Gajah Mada 351114 Kota Pekalongan;Opticians (Retail)
Indah Hati Kerinci;Jl. Jenderal Sudirman 7537215 Klaten  - Kabupaten;Opticians (Retail)
Visindo Anugratama;Jalan Alaydrus 2010140 Jakarta;Opticians (Retail)
Surya Karya Mandiri Lestari;Jalan Suryo Pranoto 110130 Jakarta;Opticians (Retail)
Ekonomis Optik Toko;Panakukkang Square 190111 Jakarta Timur  - Makasar;Opticians (Retail)
Wita Optik;Jalan Raya Kebayoran Lama 19412220 Jakarta;Opticians (Retail)
Bogor Optical;Jalan Raya Bogor 4216911 Kota Bogor;Opticians (Retail)
Optik Joy;Jl. Kisamaun 15720 Klaten  - Kabupaten;Opticians (Retail)
Pelangi Optik;ITC Mangga Dua 14430 Jakarta;Opticians (Retail)
Visi Optik;Jalan Jenderal Ahmad Yani 776131 Balikpapan;Opticians (Retail)
Bintang Optic;Harco Pasar Baru Ground Floor 10710 Jakarta;Opticians (Retail)
Beringin Optical;Jalan Pangeran Diponegoro 18166212 Klaten  - Kabupaten;Opticians (Retail)
Ocularium Optical;Jalan Pasar Baru 2510110 Jakarta;Opticians (Retail)
Mutiara Bandung Optik;Jl. Pulau Sumatera 1294615 Klaten  - Kabupaten;Opticians (Retail)
Celebes Optik;ITC Kuningan 12940 Jakarta;Opticians (Retail)
Trend Optik;Jalan HOS Cokroaminoto 115151 Kota Tangerang;Opticians (Retail)
Berjaya Mandarin Opto Medic;Jalan Senen Raya 13510110 Jakarta;Opticians (Retail)
Merlin Optik;Jl. Raya Kendangsari Industri 4060292 Kota Surabaya;Opticians (Retail)
Airlangga Optik;Jalan Srikana 3660286 Kota Surabaya;Opticians (Retail)
Optik Nusa;Jalan Simo 12957432 Klaten  - Kabupaten;Opticians (Retail)
Agung Perkasa Karya Sejahtera;Jalan Pasar Baru Selatan 310710 Jakarta;Opticians (Retail)
Rajawali Optical;Jalan Arteri Mangga Dua 10730 Jakarta;Opticians (Retail)
Internasional Putri Budi Utama;Jalan Kopo 35140242 Kota Bandung;Opticians (Retail)
Rumah Lensa Katamata;Komplek Delta Building 110160 Jakarta;Opticians (Retail)
Rumah Sakit Mata Regina Eye Centre;Jalan Haji Agus Salim 1125121 Kota Padang;Opticians (Retail)
Sally Sanjaya Toko;Terminal Bus Senen 10410 Jakarta;Opticians (Retail)
Sinar Bahagia Farmasindo;Jalan Alaydrus 10140 Jakarta;Opticians (Retail)
Focus Optik;ITC Mangga Dua 8114430 Jakarta;Opticians (Retail)
Pro Optik;Jl. RS Fatmawati 1512410 Jakarta;Opticians (Retail)
Duren Sawit Optik;Kav PTB 2813470 Jakarta;Opticians (Retail)
Dunia Optical;Jalan Gunung Agung 1781117 Dompu  - Bali;Opticians (Retail)
Optica 77;Jalan Boulevard Barat 2614240 Jakarta;Opticians (Retail)
Cravisi Utama Jaya;Jalan Alaydrus 2010140 Jakarta;Opticians (Retail)
Aini Optik;Jalan Mojopahit 4857468 Klaten  - Kabupaten;Opticians (Retail)
Fortuna Sakti Indo Jaya;Jalan Darmo Permai Timur 7 1660189 Kota Surabaya;Opticians (Retail)
Subur Jaya Optical;Jalan Panjang 11520 Jakarta;Opticians (Retail)
Tjandra Waskita Optical;Jl Wolter Monginsidi 7812170 Jakarta;Opticians (Retail)
City Optical;Jalan Jelambar Baru 7 5311460 Jakarta;Opticians (Retail)
Optik Indo;Jl. Arif Rahman Hakim 2665111 Klaten  - Kabupaten;Opticians (Retail)
Optik Focus;Jalan Pangeran Diponegoro 3577113 Kota Tarakan;Opticians (Retail)
Loyaltech Gensu Utama;Jalan Hayam Wuruk 10130 Jakarta;Hardware (Retail)Hardwares (Wholesale)Hardware  (Manufacture)Opticians (Retail)
