name;address;sector
Apotek Kimia Farma;Jl. Pattimura 5980115 Dompu  - Bali;Chemists
Multikimia Intipelangi;Jalan Siwalan 13057143 Surakarta;Chemists
Apotek Kimia Farma;Jalan Bali 157411 Klaten  - Kabupaten;Chemists
Cahayatiara Mustika Scientific Indone;Jl. Jababeka Ix  Kota Bekasi;Chemists
Apotek Kimia Farma;Jalan Sultan Agung 157436 Klaten  - Kabupaten;Chemists
Kimia Farma 284 Apotek;Jalan Siliwangi 4517151 West Java;Chemists
Klinik Kimia Farma 108;Jalan Teuku Umar 24684218 Dompu  - Bali;Chemists
Multilab Adisurya Mandiri;Jalan Tanjung Selor 711440 Jakarta;Chemists
Apotek Kimia Farma;Jalan Garuda 4710610 Jakarta;Chemists
PT.Midexdharma Agung;Jalan Sunan Drajat 4213220 Jakarta;Chemists
Klinik Prodia;Jl. Tgh. H.M Daud Beureuh 17423242 Kota Banda Aceh;Chemists
Sentra Biosains Dinamika;Jalan Letnan Jenderal Suprapto 10640 Jakarta;Chemists
Alfa Kimia;Jalan C Simanjuntak GK 5 1255223 Kota Yogyakarta;Chemists
Sembada Graha Persada;Jalan Brojolamatan 32655283 Kota Yogyakarta;Chemists
Apotek Kimia Farma 348;Jalan Damai 816151 West Java;Chemists
Berlico Mulia Farma;Jl. Yogyakarta 1055571 Klaten  - Kabupaten;Chemists
Apotek Kimia Farma;Jalan Ngagel Jaya Selatan 10960283 Kota Surabaya;Chemists
Apotek Kimia Farma;Jl. Ampera 729663 Klaten  - Kabupaten;Chemists
Apotek Kimia Farma;Jalan Soeprapto 6438886 Kota Bengkulu;Chemists
Klinik Kimia Farma 390;Jalan Setia Budi 6594226 Kota Palu;Chemists
Apotek Kimia Farma Cendrawasih;Jl. Ahmad Yani 6799221 Papua;Chemists
Apotek Senopati;Jalan Senopati 1512190 Jakarta;Chemists
Apotek Kimia Farma 117;Jalan Kolonel Abunjani 7836129 Kota Jambi;Chemists
Apotek Kimia Farma 134;Jalan Pejanggik 4883121 Kota Mataram;Chemists
Apotek Kimia Farma271;Jl. KH. Ahmad Dahlan 950194 Central Java;Chemists
Klinik Kimia Farma Cirendeu;Jl. Cireundeu Raya 2715414 Klaten  - Kabupaten;Chemists
Apotek Kimia Farma Tanjung Uncang;Komp. Ruko Fanindo 29423 Riau Islands;Chemists
Apotek Kimia Farma Sunter;Jalan Danau Sunter Utara 14350 Jakarta;Chemists
Apotek Kimia Farma;Jl. Utan Kayu 10513120 Jakarta;Chemists
