name;address;sector
Manunggal Aman Sapta Jaya;Jalan Puri Anjasmoro 50144 Kota Semarang;Herbalist (Retail)
Algae Bioteknologi Internasional;Jl. Slamet Riyadi 20 Klaten  - Kabupaten;Herbalist (Retail)
Permata Nusantara Consulting;Komp. Stadion Bima Pdk 93 Kota Cirebon;Herbalist (Retail)
Bina Raci;Jl. Sei Belumei I 6020154 Medan Baru  - Babura;Herbalist (Retail)
Taman Medis;Jl. Serma Made Pil I 680114 Dompu  - Bali;Herbalist (Retail)
Perhutani Unit Pabrik Gondorukem;Jalan Jember - Banyuwangi 3068184 Klaten  - Kabupaten;Herbalist (Retail)
Ibu Hadi Solo Toko;Pasar Genteng 60275 Kota Surabaya;Herbalist (Retail)
Lugu Murni Jampi Jawi;Jl. Brigjen Katamso Selatan 20055152 Kota Yogyakarta;Herbalist (Retail)
Toko Bafar Industri Jamu & Cosmetic;- H Jl. Bungur Besar 5310610 Jakarta;Herbalist (Retail)
Firda Prima Surabaya;Jalan Kedinding Tengah 1 660129 Kota Surabaya;Herbalist (Retail)
Mentari Anugerah Sakti;Jalan Terboyo Industri Timur 4650113 Kota Semarang;Herbalist (Retail)
Mahatri Bali Indonesia;Jalan Tukad Balian 980224 Dompu  - Bali;Herbalist (Retail)
Mahardika Synergy Indonesia;Ruko Cassamora  Jakarta;Herbalist (Retail)
Jamu Iboe Jaya;A-B Jl. Raya Gubeng 6860281 Kota Surabaya;Herbalist (Retail)
Ila Safinatin Najah;Jalan Melati Indah 28289 Kota Pekanbaru;Herbalist (Retail)
Rafaga Bangun Industri;Ruko Perum. Metland Menteng  Jakarta;Herbalist (Retail)
Winviz Gentala Indonesia;Perumahan Grand Kenali 36129 Kota Jambi;Herbalist (Retail)
Bayer Indonesia;Jalan Raya Bogor 3216416 Depok;Chemical Products (Manufacture, Wholesale)DrugsHerbalist (Retail)
Citra Deli Kreasitama;Jalan Kresek 8911750 Jakarta;Chemical Products (Manufacture, Wholesale)DrugsHerbalist (Retail)
Wahida Indonesia;Jl. Wijaya Viii 212160 Jakarta;Chemical Products (Manufacture, Wholesale)DrugsHerbalist (Retail)
Perusahaan Jamu Air Mancur;Jalan Mataram Dalam 2 110310 Jakarta;Chemical Products (Manufacture, Wholesale)DrugsHerbalist (Retail)
Agar Swallow;Jalan Pahlawan 16810 Klaten  - Kabupaten;Chemical Products (Manufacture, Wholesale)DrugsHerbalist (Retail)
J Cool Indonesia;Sequis 12920 Jakarta;Chemical Products (Manufacture, Wholesale)DrugsHerbalist (Retail)
Likuid Pharmalab Indonesia;Bladon 57551 Klaten  - Kabupaten;Chemical Products (Manufacture, Wholesale)DrugsHerbalist (Retail)
Combiphar;Jalan Terusan Holis Cibolerang 46640212 Kota Bandung;Chemical Products (Manufacture, Wholesale)DrugsHerbalist (Retail)
Tri Rahardja;Jl. Raya Solo Tawangmangun 57791 Klaten  - Kabupaten;Chemical Products (Manufacture, Wholesale)DrugsHerbalist (Retail)
Amsartika Sembada;Jalan Karang Tengah Raya 12440 Jakarta;Chemical Products (Manufacture, Wholesale)DrugsHerbalist (Retail)
Intan Jaya Medika Solusi;Komplek Duta Merlin 310130 Jakarta;Chemical Products (Manufacture, Wholesale)DrugsHerbalist (Retail)
Point Sarana Sukses;Jl. Pantai Indah Kapuk 3914450 Jakarta;Chemical Products (Manufacture, Wholesale)DrugsHerbalist (Retail)
Hanita Artha Nusantara;Jalan Diponegoro 5357416 Klaten  - Kabupaten;Chemical Products (Manufacture, Wholesale)DrugsHerbalist (Retail)
